web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
1669365998-670,https://shopee.co.id/mall/brands/11042849,carnivoressoul,https://shopee.co.id/carnivoressoul,Carnivores Soul Official Shop,53,72% (Hitungan Jam),17%,"2,8RB",4.9 (294 Penilaian),,Carnivores Soul - Wolverine 16 Oz Deep Indigo Selvedge - SanforizedRp780.00075,https://shopee.co.id/Carnivores-Soul-Wolverine-16-Oz-Deep-Indigo-Selvedge-Sanforized-i.95317699.6245639854?sp_atk=6d03c572-3c67-4e40-b0cf-7d5f2c78fdfe&xptdk=6d03c572-3c67-4e40-b0cf-7d5f2c78fdfe,Carnivores Soul - Wolverine 16 Oz Deep Indigo Selvedge - Sanforized,,75, min. belanja Rp20.000,Favorit (202)
1669365998-671,https://shopee.co.id/mall/brands/11042849,carlosmorenoid,https://shopee.co.id/carlosmorenoid,CARLOS MORENO Official Shop,451,93% (Hitungan Jam),"11,3RB","4.8 (6,7RB Penilaian)",27 Bulan Lalu,,"Carlos Moreno Kemeja Polos Pria SlimFit Lengan Panjang - PutihRp179.000 - Rp189.0003,5RB",https://shopee.co.id/Carlos-Moreno-Kemeja-Polos-Pria-SlimFit-Lengan-Panjang-Putih-i.295145526.2919348582?sp_atk=709b4013-9fb6-43f5-b055-6a03b3c12ae3&xptdk=709b4013-9fb6-43f5-b055-6a03b3c12ae3,Carlos Moreno Kemeja Polos Pria SlimFit Lengan Panjang - Putih,,"3,5RB",,"Favorit (2,2RB)"
1669365998-672,https://shopee.co.id/mall/brands/11042849,cardinalofficial,https://shopee.co.id/cardinalofficial,Cardinal Official Shop,"5,1RB",60% (Hitungan Jam),"189,2RB","4.9 (76,6RB Penilaian)",4 Tahun Lalu,,776,https://shopee.co.id/Celana-Panjang-Formal-Slim-Fit-2-(Hitam)-i.71714210.5224687188?sp_atk=5758b2b8-1fed-49e6-9cc2-a63138c53344&xptdk=5758b2b8-1fed-49e6-9cc2-a63138c53344,,,776, min. belanja Rp20.000,Favorit (625)
1669365998-673,https://shopee.co.id/mall/brands/11042849,camelactive.official,https://shopee.co.id/camelactive.official,camel active Official Shop,351,52% (Hitungan Jam),"3,5RB",4.9 (738 Penilaian),19 Bulan Lalu,,camel active Men Shirt (102FW19146862)Rp599.00030,https://shopee.co.id/camel-active-Men-Shirt-(102FW19146862)-i.421764633.2947377681?sp_atk=4974ed05-f060-48a8-99b6-c17855d8bcc3&xptdk=4974ed05-f060-48a8-99b6-c17855d8bcc3,camel active Men Shirt (102FW19146862),,30, min. belanja Rp300.000,Favorit (9)
1669365998-674,https://shopee.co.id/mall/brands/11042849,calvinkleinofficial,https://shopee.co.id/calvinkleinofficial,Calvin Klein Official Shop,269,100% (Hitungan Menit),"24,7RB",4.7 (220 Penilaian),24 Bulan Lalu,,CK Jeans - Kaos Pria - Monogram Sleeve Badge Regular_BlackDiskon Rp15RBRp990.00014,https://shopee.co.id/CK-Jeans-Kaos-Pria-Monogram-Sleeve-Badge-Regular_Black-i.338433639.9586228207?sp_atk=afb1719b-bc10-47b5-b09b-bef4fc8b32d5&xptdk=afb1719b-bc10-47b5-b09b-bef4fc8b32d5,CK Jeans - Kaos Pria - Monogram Sleeve Badge Regular_Black,Diskon Rp15RB,14,,Favorit (54)
1669365999-675,https://shopee.co.id/mall/brands/11042849,calister_official,https://shopee.co.id/calister_official,Calister Official Shop,61,100% (Hitungan Menit),"4,7RB",4.8 (823 Penilaian),13 Bulan Lalu,,Calister - Baju stone lettering grey apparel feel good qualityRp120.00081,https://shopee.co.id/Calister-Baju-stone-lettering-grey-apparel-feel-good-quality-i.580453488.11770544551?sp_atk=051a57cb-b799-4883-b830-8904d38bcb25&xptdk=051a57cb-b799-4883-b830-8904d38bcb25,Calister - Baju stone lettering grey apparel feel good quality,,81,,Favorit (45)
1669365999-676,https://shopee.co.id/mall/brands/11042849,c59_official,https://shopee.co.id/c59_official,C59 Official Shop,54,38% (Hitungan Jam),,"5,1RB","4.8 (1,5RB Penilaian)",,C59 Kaos Polos Putih 100% CottonRp139.000252,https://shopee.co.id/C59-Kaos-Polos-Putih-100-Cotton-i.374588843.4179763691?sp_atk=4371429d-eea9-4751-8f5d-fd7a795e183d&xptdk=4371429d-eea9-4751-8f5d-fd7a795e183d,C59 Kaos Polos Putih 100% Cotton,,252,,Favorit (189)
1669366256-677,https://shopee.co.id/mall/brands/11042849,byfordindonesiaofficialshop,https://shopee.co.id/byfordindonesiaofficialshop,Byford Official Shop,101,44% (Hitungan Jam),"1,3RB","4.9 (1,4RB Penilaian)",27 Bulan Lalu,,Byford Kaos Dalam Tanpa Lengan 3 pcs/pack - PBYT24S3RRp229.900221,https://shopee.co.id/Byford-Kaos-Dalam-Tanpa-Lengan-3-pcs-pack-PBYT24S3R-i.303628571.3951860540?sp_atk=67974f3b-e5d8-4333-9cf3-6d2b24efef65&xptdk=67974f3b-e5d8-4333-9cf3-6d2b24efef65,Byford Kaos Dalam Tanpa Lengan 3 pcs/pack - PBYT24S3R,,221,,Favorit (50)
1669366257-678,https://shopee.co.id/mall/brands/11042849,buryamcer,https://shopee.co.id/buryamcer,Buryamcer Official Shop,26,18%,917,4.9 (130 Penilaian),14 Bulan Lalu,,Buryamcer Sticker Pack #2Rp30.00010,https://shopee.co.id/Buryamcer-Sticker-Pack-2-i.548569287.12245459498?sp_atk=f79a7e39-94f1-47f0-b0f1-b027d0e0fd03&xptdk=f79a7e39-94f1-47f0-b0f1-b027d0e0fd03,Buryamcer Sticker Pack #2,,10,,Favorit (30)
1669366258-679,https://shopee.co.id/mall/brands/11042849,buongiornoofficial,https://shopee.co.id/buongiornoofficial,Buon Giorno Official Shop,14,80% (Hitungan Jam),191,4.9 (69 Penilaian),24 Bulan Lalu,,"Kemeja Pria Lengan Panjang, Buon Giorno B1 T2296 Size 14.5 - 19.5Rp599.9009",https://shopee.co.id/Kemeja-Pria-Lengan-Panjang-Buon-Giorno-B1-T2296-Size-14.5-19.5-i.350025651.3669301961?sp_atk=b7420633-c2fa-4048-8336-cd528357083d&xptdk=b7420633-c2fa-4048-8336-cd528357083d,"Kemeja Pria Lengan Panjang, Buon Giorno B1 T2296 Size 14.5 - 19.5",,9,,Favorit (2)
1669366258-680,https://shopee.co.id/mall/brands/11042849,bullshirtstorebandung,https://shopee.co.id/bullshirtstorebandung,Bullshirt Official Shop,281,90% (Hitungan Jam),"3,5RB",4.9 (147 Penilaian),6 Tahun Lalu,,Topi Baseball Polocap Bullshirt Nommad GreyRp110.0007,https://shopee.co.id/Topi-Baseball-Polocap-Bullshirt-Nommad-Grey-i.8386935.12842163334?sp_atk=e475d509-b112-4418-9516-64c9e4bb5165&xptdk=e475d509-b112-4418-9516-64c9e4bb5165,Topi Baseball Polocap Bullshirt Nommad Grey,,7,tersisa 15 buah,Favorit (30)
1669366259-681,https://shopee.co.id/mall/brands/11042849,bullssyndicateofficial,https://shopee.co.id/bullssyndicateofficial,BULLS SYNDCT Official Shop,177,85% (Hitungan Jam),"14,1RB","4.9 (2,2RB Penilaian)",25 Bulan Lalu,,BULLS SYNDICATE Jacket Hofmann BlackRp340.000 - Rp675.000Rp383.93649,https://shopee.co.id/BULLS-SYNDICATE-Jacket-Hofmann-Black-i.334894736.9778037881?sp_atk=677c1784-1798-4edb-b2f2-d37339dd5a18&xptdk=677c1784-1798-4edb-b2f2-d37339dd5a18,BULLS SYNDICATE Jacket Hofmann Black,,49,,Favorit (272)
1669366260-682,https://shopee.co.id/mall/brands/11042849,buffaloindonesia,https://shopee.co.id/buffaloindonesia,Buffalo Official Shop,187,80% (Hitungan Jam),"15,1RB","4.8 (4,6RB Penilaian)",4 Tahun Lalu,,"Buffalo Celana Pendek Karet Rib Chino Oliver - Black - F1100010Diskon 50%Pilih 2, bayar Rp230.000Rp114.000 - Rp119.000479",https://shopee.co.id/Buffalo-Celana-Pendek-Karet-Rib-Chino-Oliver-Black-F1100010-i.139186143.13611387898?sp_atk=df01f90d-558f-48be-8c48-c44ea94e65dd&xptdk=df01f90d-558f-48be-8c48-c44ea94e65dd,Buffalo Celana Pendek Karet Rib Chino Oliver - Black - F1100010,Diskon 50%,479,,Favorit (255)
1669366260-683,https://shopee.co.id/mall/brands/11042849,brotherholic,https://shopee.co.id/brotherholic,Brotherholicstore Official Shop,477,97% (Hitungan Jam),"218,3RB","4.7 (176,7RB Penilaian)",7 Tahun Lalu,,Brotherholic celana panjang jeans hitam pria / celana jeans panjang hitam cowokRp250.000Rp66.00010RB+,https://shopee.co.id/Brotherholic-celana-panjang-jeans-hitam-pria-celana-jeans-panjang-hitam-cowok-i.5551633.70043921?sp_atk=58889b2f-2b7a-40ef-8a42-5670bee0b8b1&xptdk=58889b2f-2b7a-40ef-8a42-5670bee0b8b1,Brotherholic celana panjang jeans hitam pria / celana jeans panjang hitam cowok,,10RB+,,"Favorit (4,9RB)"
1669366261-684,https://shopee.co.id/mall/brands/11042849,broodis,https://shopee.co.id/broodis,BROODIS Official Shop,"1,1RB",96% (Hitungan Jam),"178,9RB","4.8 (75,6RB Penilaian)",6 Tahun Lalu,,"Broodis Kemeja Basic Pria Pique Black Lengan PanjangDiskon Rp10RBRp150.000 - Rp152.0001,7RB",https://shopee.co.id/Broodis-Kemeja-Basic-Pria-Pique-Black-Lengan-Panjang-i.12128133.130817441?sp_atk=6495e9c3-61bf-4233-9656-ec0447ed2442&xptdk=6495e9c3-61bf-4233-9656-ec0447ed2442,Broodis Kemeja Basic Pria Pique Black Lengan Panjang,Diskon Rp10RB,"1,7RB", min. belanja Rp20.000,"Favorit (1,6RB)"
1669366262-685,https://shopee.co.id/mall/brands/11042849,brilleightyeightofficial,https://shopee.co.id/brilleightyeightofficial,Brill Eighty-Eight 88 Official Shop,890,98% (Hitungan Jam),"48,4RB","4.8 (29,8RB Penilaian)",4 Tahun Lalu,,Brill Eighty EIght - Kemeja Flanel Panjang Black Green Gray 88 L3343Rp132.000164,https://shopee.co.id/Brill-Eighty-EIght-Kemeja-Flanel-Panjang-Black-Green-Gray-88-L3343-i.108031759.13146786800?sp_atk=fe6a193c-d94a-4c67-90cd-1d00ad712e09&xptdk=fe6a193c-d94a-4c67-90cd-1d00ad712e09,Brill Eighty EIght - Kemeja Flanel Panjang Black Green Gray 88 L3343,,164, min. belanja Rp300.000,Favorit (231)
